컴공-----------
ACE1301-011	 	정보사회와컴퓨터	전체	3.0	교양필수	금7(5동207) /금8,9(5남327)	김기태	상대평가	컴퓨터정보공학 소속학생 수강불가,
CSE1101-001	 	객체지향프로그래밍1	1	3.0	전공필수	화5,6(하-222) /금5,6(하-322)	양대헌	상대평가	신입생,1학년지정,
CSE1101-002	 	객체지향프로그래밍1	1	3.0	전공필수	화5,6(하-220) /금1,2(하-322)	강상길	상대평가	신입생,1학년지정,
CSE1101-003	 	객체지향프로그래밍1	1	3.0	전공필수	월5,6(하-001) /목5,6(하-322)	한경숙	상대평가	신입생,1학년지정,
CSE1101-004	 	객체지향프로그래밍1	1	3.0	전공필수	화1,2(하-220) /목3,4(하-322)	한경숙	상대평가	신입생,1학년지정,
CSE1101-005	 	객체지향프로그래밍1	1	3.0	전공필수	월1,2(하-220) /수3,4(하-324)	김제민	상대평가	재수강,고학년지정,
CSE1102-001	 	컴퓨터공학입문 및 실습	1	3.0	전공필수	월5,6(하-322) /목5,6(하-120)	이문규	상대평가	신입생,1학년지정,
CSE1102-002	 	컴퓨터공학입문 및 실습	1	3.0	전공필수	월8,9(하-120) /수5,6(하-322)	박준석	상대평가	신입생,1학년지정,
CSE1102-003	 	컴퓨터공학입문 및 실습	1	3.0	전공필수	화7,8(하-001) /목7,8(하-324)	이영석	상대평가	신입생,1학년지정,
CSE1102-004	 	컴퓨터공학입문 및 실습	1	3.0	전공필수	월1,2(하-120) /화5,6(하-322)	타메르	절대평가	English,재수강,고학년지정,
CSE1104-001	 	창의적컴퓨터공학설계	1	3.0	전공필수	월7,8,9(하-320)	강상길	상대평가	신입생,1학년지정,
CSE1104-002	 	창의적컴퓨터공학설계	1	3.0	전공필수	수7,8,9(하-320)	유상봉	상대평가	신입생,1학년지정,
CSE1104-003	 	창의적컴퓨터공학설계	1	3.0	전공필수	수4,5,6(하-320)	권장우	절대평가	영어,English 재수강,고학년지정,
MTH1001-029	 	일반수학1	1	3.0	교양필수	월5,6,목4(5동107A)	양재현	상대평가	 
MTH1001-030	 	일반수학1	1	3.0	교양필수	화4,금5,6(5동107A)	정신자	상대평가	 
MTH1001-031	 	일반수학1	1	3.0	교양필수	화1,2,목3(5동107A)	장태수	상대평가	 
MTH1001-032	 	일반수학1	1	3.0	교양필수	화5,6,금4(5동107A)	유자도	상대평가	 
PHY1001-030	 	물리학1	1	3.0	교양필수	화1,2,목3(5동407)	노재우	상대평가	 
PHY1001-031	 	물리학1	1	3.0	교양필수	월4,목5,6(5동407)	김현철	상대평가	 
PHY1001-032	 	물리학1	1	3.0	교양필수	화4,금5,6(5동407)	김두영	상대평가	 
PHY1003-026	 	물리학실험1	1	1.0	교양필수	금1,2(5동315)	권민정	상대평가	 
PHY1003-027	 	물리학실험1	1	1.0	교양필수	화5,6(5동313)	이재일	상대평가	 
PHY1003-028	 	물리학실험1	1	1.0	교양필수	수3,4(5동315)	김현철	상대평가	 
PHY1003-029	 	물리학실험1	1	1.0	교양필수	목3,4(5동315)	이재일	상대평가	 
ACE1312-001	 	이산수학	2	3.0	교양필수	월5,6,목4(하-120)	유원희	상대평가	 
ACE1312-002	 	이산수학	2	3.0	교양필수	화3,목1,2(하-120)	유원희	상대평가	 
ACE1312-003	 	이산수학	2	3.0	교양필수	화5,6,금4(하-120)	박준석	상대평가	 
ACE1312-004	 	이산수학	2	3.0	교양필수	금3,4,5(하-121)	박승보	상대평가	 
ACE2104-005	 	통계학	2	3.0	교양필수	월1,2,금7(하-121)	최성용	상대평가	 
ACE2104-006	 	통계학	2	3.0	교양필수	월3,금8,9(하-121)	최성용	상대평가	 
ACE2104-007	 	통계학	2	3.0	교양필수	수7,목8,9(하-121)	조태호	절대평가	영어,English,
ACE2106-001	 	정수론입문	2	3.0	교양필수	월4,목5,6(하-220)	유형선	절대평가	영어,English,
ACE2106-002	 	정수론입문	2	3.0	교양필수	월5,6,목4(하-220)	유형선	절대평가	영어,English,
ACE2106-003	 	정수론입문	2	3.0	교양필수	화4,금1,2(하-222)	유자도	상대평가	 
ACE2106-004	 	정수론입문	2	3.0	교양필수	화8,9(하-121) /금3(하-222)	유자도	상대평가	 
CSE2103-001	 	어셈블리어	2	3.0	전공선택	화8,9,목7(하-322)	권장우	상대평가	 
CSE2103-002	 	어셈블리어	2	3.0	전공선택	월8,9,수7(하-222)	장인주	상대평가	 
CSE2103-003	 	어셈블리어	2	3.0	전공선택	월7,수8,9(하-222)	장인주	상대평가	 
CSE2104-001	 	인터넷 프로그래밍	2	3.0	전공선택	월10,11(하-120) /수3,4(하-322)	유영훈	상대평가	선수,
CSE2104-002	 	인터넷 프로그래밍	2	3.0	전공선택	수5,6(하-120) /금5,6(하-324)	이기성	상대평가	선수,
CSE2104-003	 	인터넷 프로그래밍	2	3.0	전공선택	화1,2(하-324) /목1,2(하-121)	이기성	상대평가	선수,
CSE2107-001	 	자바기반응용프로그래밍	2	3.0	전공선택	수8,9(하-220) /금3,4(하-322)	이상철	상대평가	2,3학년,선수,
CSE2107-002	 	자바기반응용프로그래밍	2	3.0	전공선택	수5,6(하-220) /금1,2(하-324)	조태호	절대평가	영어,English, 2,3학년,선수,
CSE2107-003	 	자바기반응용프로그래밍	2	3.0	전공선택	화1,2(하-001) /수1,2(하-324)	타메르	절대평가	English,3학년,선수,
ACE3001-011	 	공학커뮤니케이션	3	2.0	교양필수	화5,6(하-001)	이영석	상대평가	컴퓨터정보공학과전용,
ACE3001-012	 	공학커뮤니케이션	3	2.0	교양필수	수3,4(하-222)	이영석	상대평가	컴퓨터정보공학과전용,
ACE3001-013	 	공학커뮤니케이션	3	2.0	교양필수	수5,6(하-222)	이영석	상대평가	컴퓨터정보공학과전용,
CSE3101-001	 	수치프로그래밍	3	3.0	전공선택	화7,목8,9(하-120)	이문규	상대평가	선수,
CSE3201-001	 	시스템 프로그래밍	3	3.0	전공선택	화3,4(하-220) /목1,2(하-324)	이필규	상대평가	 
CSE3201-002	 	시스템 프로그래밍	3	3.0	전공선택	월2,3(하-222) /수1,2(하-322)	민하즈	절대평가	English,
CSE3203-001	 	컴퓨터구조론	3	3.0	전공선택	월4,목5,6(하-222)	이정현	상대평가	선수,
CSE3203-002	 	컴퓨터구조론	3	3.0	전공선택	월5,6,목4(하-222)	이정현	상대평가	선수,
CSE3206-001	 	오퍼레이팅시스템	3	3.0	전공선택	화8,9,목7(하-120)	송민석	상대평가	 
CSE3206-002	 	오퍼레이팅시스템	3	3.0	전공선택	화1,2,목3(하-120)	송민석	상대평가	 
CSE3206-003	 	오퍼레이팅시스템	3	3.0	전공선택	화5,6(하-121) /수7(하-220)	이상철	상대평가	 
CSE3207-001	 	데이터베이스	3	3.0	전공선택	화1,2,목3(하-222)	유상봉	상대평가	3학년,선수,
CSE3207-002	 	데이터베이스	3	3.0	전공선택	화8,9,목7(하-220)	이주홍	상대평가	3학년,선수,
CSE3207-003	 	데이터베이스	3	3.0	전공선택	월8,9(하-121) /금7(하-220)	최범기	상대평가	3학년,선수,
CSE3301-001	 	데이터통신	3	3.0	전공선택	화3(하-121) /수3,4(하-220)	타메르	절대평가	English,
